"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"TFOE Regulon of Rv0678",34,0.06216,"2.01e-01",0.02149,"1.00e+00",-0.04068,"2.01e-01"
"TFOE Regulon of Rv0260c",222,0.05913,"1.26e-06",0.02556,"2.22e-04",-0.03357,"1.26e-06"
"TFOE Regulon of Rv2011c",79,0.0618,"8.77e-02",0.0232,"1.00e+00",-0.0386,"8.77e-02"
"TFOE Regulon of Rv2034",67,0.06111,"4.82e-02",0.02548,"2.93e-01",-0.03563,"4.82e-02"
"TFOE Regulon of Rv3058c",248,0.05589,"6.61e-13",0.01877,"2.45e-02",-0.03712,"6.61e-13"
"TFOE Regulon of Rv3082c (virS)",9,0.06463,"1.00e+00",0.02893,"1.00e+00",-0.0357,"1.00e+00"
"TFOE Regulon of Rv0022c (whiB5)",396,0.05256,"3.32e-16",0.02135,"5.34e-06",-0.03121,"3.32e-16"
"TFOE Regulon of Rv2760c (vapB42)",9,0.06348,"1.00e+00",0.02493,"1.00e+00",-0.03855,"1.00e+00"
"TFOE Regulon of Rv0757 (phoP)",136,0.05433,"1.22e-04",0.02238,"7.08e-03",-0.03195,"1.22e-04"
"TFOE Regulon of Rv3416 (whiB3)",334,0.0474,"4.34e-14",0.01774,"3.34e-04",-0.02966,"4.34e-14"
"TFOE Regulon of Rv0818",486,0.0468,"1.28e-16",0.0189,"5.07e-06",-0.0279,"1.28e-16"
"TFOE Regulon of Rv0494",11,0.05846,"5.21e-01",0.01167,"1.00e+00",-0.0468,"5.21e-01"
"TFOE Regulon of Rv0491 (regX3)",18,0.05492,"1.99e-01",0.01058,"1.00e+00",-0.04434,"1.99e-01"
"TFOE Regulon of Rv0273c",18,0.06093,"1.00e+00",0.0287,"1.00e+00",-0.03223,"1.00e+00"
"TFOE Regulon of Rv0330c",14,0.05936,"1.00e+00",0.01147,"1.00e+00",-0.04789,"1.00e+00"
"TFOE Regulon of Rv3557c (kstR2)",19,0.05877,"1.00e+00",0.02323,"1.00e+00",-0.03555,"1.00e+00"
"TFOE Regulon of Rv3597c (lsr2)",20,0.0569,"1.00e+00",0.02857,"1.00e+00",-0.02833,"1.00e+00"
"TFOE Regulon of Rv3208",22,0.05638,"1.00e+00",0.01667,"1.00e+00",-0.03971,"1.00e+00"
"TFOE Regulon of Rv0038",3,0.05514,"1.00e+00",0.00915,"1.00e+00",-0.04599,"1.00e+00"
"TFOE Regulon of Rv1049",75,0.04459,"6.87e-02",0.0177,"9.97e-01",-0.0269,"6.87e-02"
"TFOE Regulon of Rv2884",157,0.04273,"4.29e-04",0.01834,"2.72e-02",-0.02439,"4.29e-04"
"TFOE Regulon of Rv2324",14,0.05059,"1.00e+00",0.01293,"1.00e+00",-0.03766,"1.00e+00"
"TFOE Regulon of Rv2506",21,0.04963,"1.00e+00",0.02037,"1.00e+00",-0.02926,"1.00e+00"
"TFOE Regulon of Rv3417c (groEL1)",103,0.04302,"2.01e-01",0.01639,"1.00e+00",-0.02663,"2.01e-01"
"TFOE Regulon of Rv0894",2,0.04759,"1.00e+00",0.02085,"1.00e+00",-0.02674,"1.00e+00"
"TFOE Regulon of Rv0023",735,0.03585,"4.69e-17",0.01151,"7.09e-03",-0.02434,"4.69e-17"
"TFOE Regulon of Rv0827c (kmtR)",8,0.04709,"1.00e+00",0.00013,"1.00e+00",-0.04696,"1.00e+00"
"TFOE Regulon of Rv0767c",81,0.04069,"3.62e-02",0.01401,"1.00e+00",-0.02669,"3.62e-02"
"TFOE Regulon of Rv3765c (tcrX)",94,0.04014,"5.98e-02",0.01106,"1.00e+00",-0.02908,"5.98e-02"
"TFOE Regulon of Rv0691c (mftR)",9,0.04668,"1.00e+00",0.01305,"1.00e+00",-0.03363,"1.00e+00"
"TFOE Regulon of Rv1985c",5,0.0464,"1.00e+00",0.02778,"1.00e+00",-0.01862,"1.00e+00"
"TFOE Regulon of Rv1129c",15,0.04571,"1.00e+00",0.03252,"1.00e+00",-0.01319,"1.00e+00"
"TFOE Regulon of Rv1353c",91,0.03809,"7.21e-02",0.01463,"1.00e+00",-0.02346,"7.21e-02"
"TFOE Regulon of Rv3223c (sigH)",323,0.03431,"7.97e-07",0.01173,"7.87e-01",-0.02258,"7.97e-07"
"TFOE Regulon of Rv1423 (whiA)",17,0.04512,"1.00e+00",0.01436,"1.00e+00",-0.03076,"1.00e+00"
"TFOE Regulon of Rv0465c",15,0.04474,"1.00e+00",0.01752,"1.00e+00",-0.02722,"1.00e+00"
"TFOE Regulon of Rv3574 (kstR)",73,0.03546,"4.74e-02",0.01062,"1.00e+00",-0.02483,"4.74e-02"
"TFOE Regulon of Rv1657 (argR)",8,0.04071,"8.14e-01",0.03136,"8.14e-01",-0.00935,"1.00e+00"
"TFOE Regulon of Rv1830",4,0.0445,"1.00e+00",0.01548,"1.00e+00",-0.02902,"1.00e+00"
"TFOE Regulon of Rv0353 (hspR)",95,0.04331,"1.00e+00",0.02044,"1.00e+00",-0.02287,"1.00e+00"
"TFOE Regulon of Rv0047c",61,0.04272,"1.00e+00",0.01486,"1.00e+00",-0.02787,"1.00e+00"
"TFOE Regulon of Rv3050c",28,0.04225,"1.00e+00",0.01695,"1.00e+00",-0.02529,"1.00e+00"
"TFOE Regulon of Rv1287",40,0.04223,"1.00e+00",0.00626,"1.00e+00",-0.03597,"1.00e+00"
"TFOE Regulon of Rv3197A (whiB7)",38,0.04133,"1.00e+00",0.0148,"1.00e+00",-0.02653,"1.00e+00"
"TFOE Regulon of Rv0967 (csoR)",5,0.03382,"5.50e-01",-0.02978,"5.50e-01",0.00404,"1.00e+00"
"TFOE Regulon of Rv1990c",91,0.03169,"1.25e-01",0.0124,"1.00e+00",-0.01929,"1.25e-01"
"TFOE Regulon of Rv1358",93,0.03307,"5.62e-01",0.00753,"1.00e+00",-0.02554,"5.62e-01"
"TFOE Regulon of Rv1460",6,0.0398,"1.00e+00",0.02635,"1.00e+00",-0.01345,"1.00e+00"
"TFOE Regulon of Rv1395",33,0.03879,"1.00e+00",0.02351,"1.00e+00",-0.01529,"1.00e+00"
"TFOE Regulon of Rv3862c (whiB6)",25,0.0357,"1.00e+00",0.00915,"1.00e+00",-0.02654,"1.00e+00"
"TFOE Regulon of Rv0735 (sigL)",38,0.03523,"1.00e+00",0.02372,"1.00e+00",-0.01151,"1.00e+00"
"TFOE Regulon of Rv0339c",9,0.03342,"1.00e+00",0.00012,"1.00e+00",-0.03329,"1.00e+00"
"TFOE Regulon of Rv0302",7,0.03298,"1.00e+00",0.01257,"1.00e+00",-0.0204,"1.00e+00"
"TFOE Regulon of Rv2640c",14,0.03291,"1.00e+00",0.01954,"1.00e+00",-0.01336,"1.00e+00"
"TFOE Regulon of Rv1219c",79,0.03246,"1.00e+00",0.01532,"1.00e+00",-0.01714,"1.00e+00"
"TFOE Regulon of Rv2827c",82,0.0315,"1.00e+00",0.01376,"1.00e+00",-0.01775,"1.00e+00"
