"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"Rv3173c",20,0.09101,"1.54e-01",0.03465,"1.00e+00",-0.05636,"1.54e-01"
"clgR",5,0.10868,"1.00e+00",0.04588,"1.00e+00",-0.0628,"1.00e+00"
"Rv3405c",10,0.09674,"3.40e-01",0.03042,"1.00e+00",-0.06632,"3.40e-01"
"MG2; Starvation",21,0.08871,"1.01e-01",0.03315,"1.00e+00",-0.05556,"1.01e-01"
"sigA",12,0.09015,"1.96e-01",0.04364,"1.96e-01",-0.04651,"6.16e-01"
"Rv3058c",10,0.10617,"1.00e+00",0.0461,"1.00e+00",-0.06007,"1.00e+00"
"Rv1359",7,0.09902,"6.45e-01",0.05607,"6.45e-01",-0.04295,"1.00e+00"
"ssb",7,0.08814,"1.49e-01",0.05464,"1.49e-01",-0.0335,"1.00e+00"
"Mycofactocin Synthesis Pathway",6,0.08031,"1.41e-02",0.04429,"1.41e-02",-0.03602,"8.82e-02"
"Rv1332",9,0.10251,"8.33e-01",0.03708,"1.00e+00",-0.06544,"8.33e-01"
"hspR",11,0.08208,"1.40e-01",0.04658,"1.40e-01",-0.03551,"1.00e+00"
"Rv0232",7,0.09418,"9.44e-01",0.04484,"1.00e+00",-0.04934,"9.44e-01"
"Rv2258c",2,0.08594,"3.54e-01",0.04015,"3.54e-01",-0.04579,"8.61e-01"
"Rv3050c",15,0.07321,"1.83e-01",0.03635,"1.83e-01",-0.03686,"2.21e-01"
"whiB3",27,0.06913,"3.09e-01",0.03164,"3.09e-01",-0.03749,"4.12e-01"
"Mg2; Riboswitch",7,0.08561,"1.00e+00",0.0342,"1.00e+00",-0.05141,"1.00e+00"
"Rv2021c",190,0.05402,"7.86e-08",0.01811,"9.34e-01",-0.03591,"7.86e-08"
"vapB42",5,0.07381,"1.00e+00",0.02804,"1.00e+00",-0.04577,"1.00e+00"
"Rv0474",31,0.06767,"3.83e-01",0.02874,"1.00e+00",-0.03893,"3.83e-01"
"HPT-2b Induced",26,0.07117,"7.58e-01",0.03099,"1.00e+00",-0.04018,"7.58e-01"
"Rv0158",28,0.06137,"2.12e-01",0.02803,"3.12e-01",-0.03334,"2.12e-01"
"kstR2",29,0.06113,"1.84e-01",0.02282,"1.00e+00",-0.0383,"1.84e-01"
"mce3R",24,0.07299,"1.00e+00",0.03689,"1.00e+00",-0.0361,"1.00e+00"
"higA",47,0.06227,"3.18e-01",0.02971,"1.00e+00",-0.03256,"3.18e-01"
"Rv1460",15,0.06603,"7.11e-01",0.03709,"1.00e+00",-0.02894,"7.11e-01"
"Rv0472c",9,0.06335,"6.55e-01",0.04361,"6.55e-01",-0.01974,"1.00e+00"
"ideR",44,0.05287,"1.54e-02",0.01577,"1.00e+00",-0.03709,"1.54e-02"
"whiB6",15,0.06903,"1.00e+00",0.02105,"1.00e+00",-0.04798,"1.00e+00"
"Rv0880",24,0.05485,"2.74e-01",0.02397,"1.00e+00",-0.03088,"2.74e-01"
"Rv1186c",11,0.06284,"8.28e-01",0.02388,"1.00e+00",-0.03896,"8.28e-01"
"Rv0576",59,0.05237,"6.14e-02",0.02275,"5.16e-01",-0.02963,"6.14e-02"
"Rv0678",528,0.04709,"8.61e-21",0.01858,"1.39e-07",-0.02851,"8.61e-21"
"sigE",42,0.0527,"1.36e-01",0.02296,"9.78e-01",-0.02974,"1.36e-01"
"kstR",506,0.04506,"1.92e-18",0.01847,"3.24e-07",-0.02659,"1.92e-18"
"Rv2642",68,0.04823,"1.28e-02",0.0219,"9.22e-01",-0.02633,"1.28e-02"
"whiB1",45,0.04857,"6.29e-02",-0.02368,"1.27e-01",0.02489,"6.29e-02"
"pimA",6,0.05777,"1.00e+00",0.03368,"1.00e+00",-0.0241,"1.00e+00"
"Rv3167c",18,0.0553,"1.00e+00",0.02342,"1.00e+00",-0.03188,"1.00e+00"
"Rv2640c",6,0.05294,"7.58e-01",0.02931,"7.58e-01",-0.02363,"1.00e+00"
"Rv0465c",113,0.0454,"4.96e-04",0.01147,"1.00e+00",-0.03393,"4.96e-04"
"mprA",297,0.04365,"6.01e-09",0.0162,"1.91e-02",-0.02745,"6.01e-09"
"Rv0348",10,0.05403,"1.00e+00",0.02886,"1.00e+00",-0.02517,"1.00e+00"
"Rv3488",221,0.04377,"1.84e-07",0.01758,"7.23e-02",-0.02619,"1.84e-07"
"Acid Shock",64,0.04854,"2.84e-01",0.02004,"1.00e+00",-0.0285,"2.84e-01"
"mprB",301,0.04324,"7.66e-09",0.01602,"2.34e-02",-0.02722,"7.66e-09"
"sigH",438,0.04095,"1.44e-14",0.01457,"1.80e-03",-0.02638,"1.44e-14"
